"Iteracao";"RSS"
400;104.242860
401;104.241445
402;104.240029
403;104.238614
404;104.237199
405;104.235783
406;104.234368
407;104.232953
408;104.231537
409;104.230122
410;104.228707
411;104.227292
412;104.225877
413;104.224462
414;104.223047
415;104.221632
416;104.220216
417;104.218801
418;104.217387
419;104.215972
420;104.214557
421;104.213142
422;104.211727
423;104.210312
424;104.208897
425;104.207482
426;104.206068
427;104.204653
428;104.203238
429;104.201824
430;104.200409
431;104.198994
432;104.197580
433;104.196165
434;104.194751
435;104.193336
436;104.191922
437;104.190507
438;104.189093
439;104.187678
440;104.186264
441;104.184850
442;104.183435
443;104.182021
444;104.180607
445;104.179192
446;104.177778
447;104.176364
448;104.174950
449;104.173536
450;104.172122
451;104.170708
452;104.169294
453;104.167879
454;104.166465
455;104.165052
456;104.163638
457;104.162224
458;104.160810
459;104.159396
460;104.157982
461;104.156568
462;104.155154
463;104.153741
464;104.152327
465;104.150913
466;104.149500
467;104.148086
468;104.146672
469;104.145259
470;104.143845
471;104.142432
472;104.141018
473;104.139605
474;104.138191
475;104.136778
476;104.135364
477;104.133951
478;104.132538
479;104.131124
480;104.129711
481;104.128298
482;104.126884
483;104.125471
484;104.124058
485;104.122645
486;104.121232
487;104.119819
488;104.118405
489;104.116992
490;104.115579
491;104.114166
492;104.112753
493;104.111340
494;104.109927
495;104.108515
496;104.107102
497;104.105689
498;104.104276
499;104.102863
500;104.101450
501;104.100038
502;104.098625
503;104.097212
504;104.095800
505;104.094387
506;104.092974
507;104.091562
508;104.090149
509;104.088737
510;104.087324
511;104.085912
512;104.084499
513;104.083087
514;104.081675
515;104.080262
516;104.078850
517;104.077438
518;104.076025
519;104.074613
520;104.073201
521;104.071789
522;104.070376
523;104.068964
524;104.067552
525;104.066140
526;104.064728
527;104.063316
528;104.061904
529;104.060492
530;104.059080
531;104.057668
532;104.056256
533;104.054844
534;104.053432
535;104.052021
536;104.050609
537;104.049197
538;104.047785
539;104.046374
540;104.044962
541;104.043550
542;104.042139
543;104.040727
544;104.039315
545;104.037904
546;104.036492
547;104.035081
548;104.033669
549;104.032258
550;104.030846
551;104.029435
552;104.028024
553;104.026612
554;104.025201
555;104.023790
556;104.022378
557;104.020967
558;104.019556
559;104.018145
560;104.016734
561;104.015323
562;104.013911
563;104.012500
564;104.011089
565;104.009678
566;104.008267
567;104.006856
568;104.005445
569;104.004035
570;104.002624
571;104.001213
572;103.999802
573;103.998391
574;103.996980
575;103.995570
576;103.994159
577;103.992748
578;103.991338
579;103.989927
580;103.988516
581;103.987106
582;103.985695
583;103.984285
584;103.982874
585;103.981464
586;103.980053
587;103.978643
588;103.977232
589;103.975822
590;103.974412
591;103.973001
592;103.971591
593;103.970181
594;103.968770
595;103.967360
596;103.965950
597;103.964540
598;103.963130
599;103.961720
600;103.960310
601;103.958899
602;103.957489
603;103.956079
604;103.954669
605;103.953260
606;103.951850
607;103.950440
608;103.949030
609;103.947620
610;103.946210
611;103.944800
612;103.943391
613;103.941981
614;103.940571
615;103.939162
616;103.937752
617;103.936342
618;103.934933
619;103.933523
620;103.932114
621;103.930704
622;103.929295
623;103.927885
624;103.926476
625;103.925066
626;103.923657
627;103.922248
