"Iteracao";"grad_m";"grad_b"
597;-0.212047;3.562138
598;-0.212027;3.561800
599;-0.212006;3.561461
600;-0.211986;3.561122
601;-0.211966;3.560784
602;-0.211946;3.560445
603;-0.211926;3.560106
604;-0.211906;3.559768
605;-0.211886;3.559429
606;-0.211865;3.559091
607;-0.211845;3.558752
608;-0.211825;3.558414
609;-0.211805;3.558075
610;-0.211785;3.557737
611;-0.211765;3.557399
612;-0.211745;3.557060
613;-0.211724;3.556722
614;-0.211704;3.556384
615;-0.211684;3.556045
616;-0.211664;3.555707
617;-0.211644;3.555369
618;-0.211624;3.555031
619;-0.211604;3.554693
620;-0.211583;3.554355
621;-0.211563;3.554017
622;-0.211543;3.553679
623;-0.211523;3.553341
624;-0.211503;3.553003
625;-0.211483;3.552665
626;-0.211463;3.552327
627;-0.211443;3.551989
628;-0.211423;3.551651
629;-0.211402;3.551314
630;-0.211382;3.550976
631;-0.211362;3.550638
632;-0.211342;3.550300
633;-0.211322;3.549963
634;-0.211302;3.549625
635;-0.211282;3.549288
636;-0.211262;3.548950
637;-0.211242;3.548612
638;-0.211222;3.548275
639;-0.211201;3.547937
640;-0.211181;3.547600
641;-0.211161;3.547263
642;-0.211141;3.546925
643;-0.211121;3.546588
644;-0.211101;3.546251
645;-0.211081;3.545913
646;-0.211061;3.545576
647;-0.211041;3.545239
648;-0.211021;3.544902
649;-0.211001;3.544565
650;-0.210981;3.544228
651;-0.210961;3.543890
652;-0.210940;3.543553
653;-0.210920;3.543216
654;-0.210900;3.542879
655;-0.210880;3.542542
656;-0.210860;3.542206
657;-0.210840;3.541869
658;-0.210820;3.541532
659;-0.210800;3.541195
660;-0.210780;3.540858
661;-0.210760;3.540521
662;-0.210740;3.540185
663;-0.210720;3.539848
664;-0.210700;3.539511
665;-0.210680;3.539175
666;-0.210660;3.538838
667;-0.210640;3.538502
668;-0.210620;3.538165
669;-0.210600;3.537829
670;-0.210580;3.537492
671;-0.210560;3.537156
672;-0.210540;3.536819
673;-0.210520;3.536483
674;-0.210500;3.536147
675;-0.210480;3.535810
676;-0.210460;3.535474
677;-0.210440;3.535138
678;-0.210420;3.534802
679;-0.210400;3.534465
680;-0.210379;3.534129
681;-0.210359;3.533793
682;-0.210339;3.533457
683;-0.210319;3.533121
684;-0.210299;3.532785
685;-0.210279;3.532449
686;-0.210259;3.532113
687;-0.210239;3.531777
688;-0.210219;3.531441
689;-0.210199;3.531105
690;-0.210179;3.530770
691;-0.210160;3.530434
692;-0.210140;3.530098
693;-0.210120;3.529762
694;-0.210100;3.529427
695;-0.210080;3.529091
696;-0.210060;3.528755
697;-0.210040;3.528420
698;-0.210020;3.528084
699;-0.210000;3.527749
700;-0.209980;3.527413
701;-0.209960;3.527078
702;-0.209940;3.526742
703;-0.209920;3.526407
704;-0.209900;3.526071
705;-0.209880;3.525736
706;-0.209860;3.525401
707;-0.209840;3.525065
708;-0.209820;3.524730
709;-0.209800;3.524395
710;-0.209780;3.524060
711;-0.209760;3.523725
712;-0.209740;3.523389
713;-0.209720;3.523054
714;-0.209700;3.522719
715;-0.209680;3.522384
716;-0.209660;3.522049
717;-0.209640;3.521714
718;-0.209621;3.521379
719;-0.209601;3.521044
720;-0.209581;3.520710
721;-0.209561;3.520375
722;-0.209541;3.520040
723;-0.209521;3.519705
724;-0.209501;3.519370
725;-0.209481;3.519036
726;-0.209461;3.518701
727;-0.209441;3.518366
728;-0.209421;3.518032
729;-0.209401;3.517697
730;-0.209381;3.517363
731;-0.209361;3.517028
